IOBS,RESPID,QA,QB,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,Q3_2,Q3_3,Q3_4,Q4,Q4DKA,Q4_RCA,Q4_RCB,Q4_RCC,Q4_RCD,Q4_RCE,Q4_RCF,Q4_RCG,Q4_RCH,Q4_RCI,Q4_RCJ,Q4_RCK,Q4_RCL,Q4_RCM,Q4_RCN,Q4_RCO,Q4_RCP,Q4_RCQ,Q4_RCR,Q4_RCS,Q4_RCT,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q7H,Q7I,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q10G,Q10H,Q11,Q11A,Q12,Q12DKA,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15,Q15B,Q16,Q17,Q17DKA,Q18,Q18REFA,Q19,Q20,Q21,Q22,STYPE,WARD,AREA,TYPE,ACORN,WEIGHT
886,886,50-64,Female,Yes,Yes,No,No,No,No,Not sure,Not sure,Disagree,Agree,Assembly gardens should stay,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",,,Theatre,Cinema,,,,11+,,,,,,,,,,,,,,,,None of these / Would not attend,Not very likely,,Football teams,,Somewhat,Somewhat,Not really,Somewhat,Somewhat,Very important,Very important,Very important,Fairly important,Fairly important,Fairly important,Very important,Not very important,Agree,The fountain and statue was moved to a water feature,,CV3 4AW,,No,White – British,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,4 - Financially Stretched,0.9769288
887,887,50-64,Female,Yes,Yes,No,No,No,No,Strongly disagree,Disagree,Disagree,Agree,Something like the festival gardens should be a permanent fixture,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,,"Pubs, clubs, and bars",Live events,Live music,Theatre,,,,,11+,,,,,,,,,,Events that involve family and friends,,,,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,To see a show or event that I know will appeal to my friend or family member,Vibrant up and coming exciting,,Definitely,Definitely,Somewhat,Definitely,Definitely,Very important,Very important,Fairly important,Very important,Very important,Very important,Very important,Very important,Strongly agree,Outside all the fountain and culture outside along with the shopping area,,CV3 4BS,,"Yes, limited a little",White – British,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,3 - Comfortable Communities,0.9769288
888,888,20-34,Male,Yes,Yes,Yes,No,Yes,Yes,Disagree,Disagree,Disagree,Agree,More art exhibition things,,,Arts/theatre/music/cultural events,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",,Live music,Theatre,Cinema,,,,5-6,,,,,,,,,Events that are based on my interests,,Events which are free,,Events which are low cost,,,,Fairly likely,Visiting the city and seeing existing attractions,Interesting history,,Definitely,Somewhat,Definitely,Definitely,Somewhat,Very important,Very important,Very important,Very important,Fairly important,Fairly important,Very important,Fairly important,Agree,It's shown off the centre being better more interested in the gallery,,CV3 4BS,,No,White – British,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,3 - Comfortable Communities,0.9355968
889,889,35-49,Female,Yes,Yes,No,No,No,Yes,Disagree,Disagree,Disagree,Agree,The energy is really good for Coventry,,,,,,,,,,,,,,,,,,Positive comments,,,,Strongly agree,Agree,Agree,Agree,Agree,Agree,,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,,Faith-based cultural activities,,5-6,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,Looking for new experiences,,Don't know,Definitely,Somewhat,Somewhat,Definitely,Somewhat,Fairly important,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Not very important,Agree,Charter house and the charter house way was interesting,,CV3 4bs,,No,White – British,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,3 - Comfortable Communities,0.9769288
890,890,35-49,Female,Yes,Yes,No,No,No,Yes,Disagree,Disagree,Disagree,Agree,Assembly gardens to stay,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Agree,Agree,Agree,,"Pubs, clubs, and bars",,,Theatre,,,,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,To see a show or event that I know will appeal to my friend or family member,Unique culture,,Definitely,Somewhat,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Not sure,,,CV3 4bs,,No,White – British,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,3 - Comfortable Communities,0.9769288
891,891,35-49,Female,Yes,Yes,No,No,No,No,Agree,Not sure,Disagree,Not sure,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,,,,,,,,,None of these,,,,,,,,,None / Nothing,,,,,,,,None of these / Would not attend,Not likely at all,,,Don't know,Not really,Somewhat,Somewhat,Somewhat,Not at all,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Very important,Don't know / Not sure,Disagree,,,CV3 4bq,,No,White – British,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,3 - Comfortable Communities,0.9769288
892,892,16-19,Male,Yes,Yes,No,No,No,Yes,Not sure,Not sure,Disagree,Agree,I like the community gardens to be more longstanding,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,,,Live music,,Cinema,,,,5-6,,,,,,,,,Events that are based on my interests,,Events which are free,,,,,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,,Don't know,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Agree,Assembly gardens in the centre,,CV3 4bq,,No,White – British,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,3 - Comfortable Communities,0.9355968
893,893,20-34,Female,Yes,Yes,Not sure,No,Yes,No,Disagree,Disagree,Agree,Agree,Events going ahead in the future the city looks cleaner keep on celebrating,,,,,,,,,,,,,Events/facilities e.g. more/better/continue,,,,,Positive comments,,,,Strongly agree,Agree,Agree,Agree,Agree,Agree,,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not likely at all,,Underated to the outside eye,,Definitely,Somewhat,Definitely,Definitely,Definitely,Don't know / Not sure,Fairly important,Fairly important,Very important,Fairly important,Very important,Very important,Fairly important,Not sure,,,CV3 5GX,,No,White – British,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,3 - Comfortable Communities,0.9480587
894,894,35-49,Female,Yes,Yes,No,No,No,No,Disagree,Agree,Disagree,Agree,Festival gardens still being left,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Agree,Agree,Not sure,Museums and galleries,"Pubs, clubs, and bars",Live events,,Theatre,Cinema,,,,3-4,,,,,,,,,Events that are based on my interests,,,,,,,,Fairly likely,Looking for new experiences,,Don't know,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Agree,Cemetery,,CV3 5GX,,No,White – British,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,3 - Comfortable Communities,0.9769288
895,895,20-34,Male,No,No,No,No,No,No,Disagree,Not sure,Not sure,Not sure,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Not sure,Not sure,Not sure,Not sure,Not sure,,,,,,,,,None of these,,,,,,,,,None / Nothing,Events that are based on my interests,Events that involve family and friends,,,Events which are low cost,,,,Not very likely,,,Don't know,Not at all,Not Sure,Not Sure,Not Sure,Not Sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Fairly important,Fairly important,Don't know / Not sure,Not sure,,,CV3 5GX,,No,White – British,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,3 - Comfortable Communities,0.9355968
896,896,20-34,Male,Yes,Yes,Yes,Yes,Yes,No,Disagree,Agree,Disagree,Agree,I Like to see the assembly gardens stay,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Museums and galleries,"Pubs, clubs, and bars",Live events,,,Cinema,,,,3-4,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not very likely,,Trying,,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Strongly agree,The guildhall,,CV3 5gx,,No,White – British,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,3 - Comfortable Communities,0.9355968
897,897,20-34,Male,Yes,Yes,Yes,Yes,Yes,Yes,Disagree,Agree,Disagree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,None of these,,The cost,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,Looking for new experiences,,Don't know,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Fairly important,Very important,Very important,Very important,Very important,Fairly important,Agree,,Don't know,CV3 5GJ,,No,Asian or Asian British – Indian,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,3 - Comfortable Communities,0.9355968
898,898,50-64,Male,Yes,No,No,No,Yes,Yes,Not sure,Agree,Disagree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Agree,Not sure,Agree,Agree,Agree,,,,,,,,,None of these,,,,,,,,,None / Nothing,,,,,,,,None of these / Would not attend,Not likely at all,,,Don't know,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Very important,Not very important,Not very important,Don't know / Not sure,Fairly important,Don't know / Not sure,Fairly important,Fairly important,Not sure,,,CV3 5gl,,No,Mixed or Multiple - White and Black Caribbean,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,3 - Comfortable Communities,0.9535254
899,899,16-19,Male,No,No,No,No,Yes,No,Not sure,Agree,Not sure,Not sure,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Agree,Agree,Agree,Strongly agree,Agree,,,,,,Cinema,,,,5-6,,,,,,,,,,,Events which are free,,Events which are low cost,,,,Fairly likely,Looking for new experiences,Coventry is university,,Somewhat,Not really,Not really,Not really,Not really,Fairly important,Fairly important,Fairly important,Don't know / Not sure,Fairly important,Fairly important,Fairly important,Not very important,Agree,,Don't know,CV3 5gl,,No,Any Other Mixed Background,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,3 - Comfortable Communities,0.9355968
900,900,35-49,Male,Yes,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Museums and galleries,,,,,,,,,1-2,,,,,,,,None / Nothing,Events that are based on my interests,,,,,,,,Not very likely,,,Don't know,Somewhat,Not at all,Somewhat,Not really,Not at all,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Not sure,,,CV3 5 gl,,No,Any Other White Background,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,3 - Comfortable Communities,0.9535254
901,901,20-34,Female,Yes,No,No,No,No,No,Agree,Not sure,Agree,Agree,,Don't know,,,,,,,,,,,,,,,,,,,,Don't know,Strongly agree,Agree,Agree,Agree,Agree,Agree,,"Pubs, clubs, and bars",,,,,,,,11+,,,,,,,,,,,Events which are free,,Events which are low cost,,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,Visiting the city and seeing existing attractions,Nice city,,Not Sure,Somewhat,Not Sure,Not Sure,Not Sure,Very important,Fairly important,Very important,Very important,Don't know / Not sure,Don't know / Not sure,Very important,Very important,Agree,,Don't know,CV3 5gl,,No,White – British,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,3 - Comfortable Communities,0.9480587
902,902,50-64,Male,Yes,Yes,Yes,No,Yes,No,Disagree,Disagree,Disagree,Agree,The assembly gardens should stay,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Not sure,Agree,Not sure,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,,Cinema,,,,11+,,,,,,,,,,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,,,,Not likely at all,,,Don't know,Definitely,Not Sure,Somewhat,Definitely,Somewhat,Fairly important,Fairly important,Very important,Fairly important,Fairly important,Very important,Very important,Fairly important,Not sure,,,CV3 5gl,,No,White – British,Gay Man,No,,Cheylesmore,South East,CAPI,3 - Comfortable Communities,0.9535254
903,903,20-34,Male,Yes,Yes,No,No,Yes,No,Disagree,Disagree,Disagree,Agree,The assembly festival garden to stay,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Not sure,Agree,Agree,Not sure,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,,Cinema,,,,11+,,,,,,,,,,Events that involve family and friends,Events which are free,,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Not very likely,,Cathedral history of the city,,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Agree,The town has more events going on,,CV3 5gj,,No,White – British,Heterosexual/Straight,No,,Cheylesmore,South East,CAPI,3 - Comfortable Communities,0.9355968
